int + int int
int + float float
float + int float
float + float float
float + double double
double + float double
double + double double
double + int double
int + double double
int - int int
int - float float
float - int float
float - float float
float - double double
double - float double
double - double double
double - int double
int - double double
int * int int
int * float float
float * int float
float * float float
float * double double
double * float double
double * double double
double * int double
int * double double
